2025-08-29 at 18:03:07 | INFO | Logger has been successfully configured.
2025-08-29 at 18:03:41 | INFO | Logger has been successfully configured.
2025-08-29 at 18:03:41 | INFO | GraphBuilder initialized with model: google_genai:gemini-1.5-flash
2025-08-29 at 18:03:41 | INFO | ChatbotNode initialized.
2025-08-29 at 18:03:41 | INFO | Chat model and ChatbotNode created.
2025-08-29 at 18:03:41 | INFO | Graph nodes and edges defined.
2025-08-29 at 18:03:41 | INFO | Graph compiled successfully with memory saver.
2025-08-29 at 18:03:41 | DEBUG | Session state initialized for a new user.
2025-08-29 at 18:03:41 | INFO | ChatUI initialized successfully.
2025-08-29 at 18:04:07 | INFO | ChatUI initialized successfully.
2025-08-29 at 18:04:07 | INFO | User prompt: hi i am faizan
2025-08-29 at 18:04:07 | DEBUG | Executing ChatbotNode with state: {'messages': [HumanMessage(content='hi i am faizan', additional_kwargs={}, response_metadata={}, id='e9fcd022-b8fd-439c-9a1b-aed5f1a6e362')]}
2025-08-29 at 18:04:09 | DEBUG | ChatbotNode response: {'messages': [AIMessage(content='Hi Faizan!  How can I help you today?', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--b771df96-5721-4c06-8897-5fb12b3a0df3-0', usage_metadata={'input_tokens': 5, 'output_tokens': 13, 'total_tokens': 18, 'input_token_details': {'cache_read': 0}})]}
2025-08-29 at 18:04:09 | DEBUG | Assistant response chunk: Hi Faizan!  How can I help you today?
2025-08-29 at 18:04:09 | INFO | Successfully displayed assistant response.
2025-08-29 at 18:04:16 | INFO | ChatUI initialized successfully.
2025-08-29 at 18:04:16 | INFO | User prompt: how are you doing today
2025-08-29 at 18:04:16 | DEBUG | Executing ChatbotNode with state: {'messages': [HumanMessage(content='hi i am faizan', additional_kwargs={}, response_metadata={}, id='e9fcd022-b8fd-439c-9a1b-aed5f1a6e362'), AIMessage(content='Hi Faizan!  How can I help you today?', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--b771df96-5721-4c06-8897-5fb12b3a0df3-0', usage_metadata={'input_tokens': 5, 'output_tokens': 13, 'total_tokens': 18, 'input_token_details': {'cache_read': 0}}), HumanMessage(content='how are you doing today', additional_kwargs={}, response_metadata={}, id='47a0af76-bd3b-4312-b9b0-1bfe2efae850')]}
2025-08-29 at 18:04:17 | DEBUG | ChatbotNode response: {'messages': [AIMessage(content="I'm doing well, thank you for asking!  As a large language model, I don't experience emotions or have a day in the same way humans do, but I'm functioning optimally and ready to assist you. How are you doing?", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--9e66a953-e0b7-4093-b21e-33842eca09c2-0', usage_metadata={'input_tokens': 22, 'output_tokens': 53, 'total_tokens': 75, 'input_token_details': {'cache_read': 0}})]}
2025-08-29 at 18:04:17 | DEBUG | Assistant response chunk: I'm doing well, thank you for asking!  As a large language model, I don't experience emotions or have a day in the same way humans do, but I'm functioning optimally and ready to assist you. How are you doing?
2025-08-29 at 18:04:17 | INFO | Successfully displayed assistant response.
2025-08-29 at 18:04:34 | INFO | ChatUI initialized successfully.
2025-08-29 at 18:04:34 | INFO | User prompt: i like to play cricket
2025-08-29 at 18:04:34 | DEBUG | Executing ChatbotNode with state: {'messages': [HumanMessage(content='hi i am faizan', additional_kwargs={}, response_metadata={}, id='e9fcd022-b8fd-439c-9a1b-aed5f1a6e362'), AIMessage(content='Hi Faizan!  How can I help you today?', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--b771df96-5721-4c06-8897-5fb12b3a0df3-0', usage_metadata={'input_tokens': 5, 'output_tokens': 13, 'total_tokens': 18, 'input_token_details': {'cache_read': 0}}), HumanMessage(content='how are you doing today', additional_kwargs={}, response_metadata={}, id='47a0af76-bd3b-4312-b9b0-1bfe2efae850'), AIMessage(content="I'm doing well, thank you for asking!  As a large language model, I don't experience emotions or have a day in the same way humans do, but I'm functioning optimally and ready to assist you. How are you doing?", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--9e66a953-e0b7-4093-b21e-33842eca09c2-0', usage_metadata={'input_tokens': 22, 'output_tokens': 53, 'total_tokens': 75, 'input_token_details': {'cache_read': 0}}), HumanMessage(content='i like to play cricket', additional_kwargs={}, response_metadata={}, id='21c88c66-e169-4829-8f08-955524f809b9')]}
2025-08-29 at 18:04:35 | DEBUG | ChatbotNode response: {'messages': [AIMessage(content="That's great! Cricket is a fantastic sport.  Are you a player, a fan, or both?  What do you enjoy most about it?", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--629c8303-1d85-48c9-88b8-971567905091-0', usage_metadata={'input_tokens': 79, 'output_tokens': 33, 'total_tokens': 112, 'input_token_details': {'cache_read': 0}})]}
2025-08-29 at 18:04:35 | DEBUG | Assistant response chunk: That's great! Cricket is a fantastic sport.  Are you a player, a fan, or both?  What do you enjoy most about it?
2025-08-29 at 18:04:35 | INFO | Successfully displayed assistant response.
2025-08-29 at 18:04:46 | INFO | ChatUI initialized successfully.
2025-08-29 at 18:04:46 | INFO | User prompt: what is my name and what i like
2025-08-29 at 18:04:46 | DEBUG | Executing ChatbotNode with state: {'messages': [HumanMessage(content='hi i am faizan', additional_kwargs={}, response_metadata={}, id='e9fcd022-b8fd-439c-9a1b-aed5f1a6e362'), AIMessage(content='Hi Faizan!  How can I help you today?', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--b771df96-5721-4c06-8897-5fb12b3a0df3-0', usage_metadata={'input_tokens': 5, 'output_tokens': 13, 'total_tokens': 18, 'input_token_details': {'cache_read': 0}}), HumanMessage(content='how are you doing today', additional_kwargs={}, response_metadata={}, id='47a0af76-bd3b-4312-b9b0-1bfe2efae850'), AIMessage(content="I'm doing well, thank you for asking!  As a large language model, I don't experience emotions or have a day in the same way humans do, but I'm functioning optimally and ready to assist you. How are you doing?", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--9e66a953-e0b7-4093-b21e-33842eca09c2-0', usage_metadata={'input_tokens': 22, 'output_tokens': 53, 'total_tokens': 75, 'input_token_details': {'cache_read': 0}}), HumanMessage(content='i like to play cricket', additional_kwargs={}, response_metadata={}, id='21c88c66-e169-4829-8f08-955524f809b9'), AIMessage(content="That's great! Cricket is a fantastic sport.  Are you a player, a fan, or both?  What do you enjoy most about it?", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--629c8303-1d85-48c9-88b8-971567905091-0', usage_metadata={'input_tokens': 79, 'output_tokens': 33, 'total_tokens': 112, 'input_token_details': {'cache_read': 0}}), HumanMessage(content='what is my name and what i like', additional_kwargs={}, response_metadata={}, id='0a6e7acc-839d-4662-bc28-72e7c98d2616')]}
2025-08-29 at 18:04:46 | DEBUG | ChatbotNode response: {'messages': [AIMessage(content='Your name is Faizan, and you like to play cricket.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-1.5-flash', 'safety_ratings': []}, id='run--b38a636c-1946-461e-b389-ffeec6817755-0', usage_metadata={'input_tokens': 119, 'output_tokens': 14, 'total_tokens': 133, 'input_token_details': {'cache_read': 0}})]}
2025-08-29 at 18:04:46 | DEBUG | Assistant response chunk: Your name is Faizan, and you like to play cricket.
2025-08-29 at 18:04:46 | INFO | Successfully displayed assistant response.
